Title,Link,Price_Whole,Price_Fraction,Rating,Num_Ratings
"RK ROYAL KLUDGE S98 Mechanical Keyboard w/Smart Display & Knob, Top Mount 96% Wireless Mechanical Keyboard BT/2.4G/USB-C, Hot Swappable, Software Support, Creamy Sounding, 98 Keys",N/A,2438,26,4.5,N/A
MCHOSE UT98 Wireless Mechanical Keyboard Compact Gaming Keyboard with Knob Tri-Mode Connection Hot Swappable Custom Creamy Keyboard Gasket Structure Pre-lubed Linear Switches RGB Retro ICY,N/A,5071,94,4.6,N/A
"AULA F75 Pro Wireless Mechanical Keyboard,75% Hot Swappable Custom Keyboard with Knob,RGB Backlit,Pre-lubed Reaper Switches,Side Printed PBT Keycaps,2.4GHz/USB-C/BT5.0 Mechanical Gaming Keyboards",N/A,2243,18,4.6,N/A
"Redragon Mechanical Gaming Keyboard Wired, 11 Programmable Backlit Modes, Hot-Swappable Red Switch, Anti-Ghosting, Double-Shot PBT Keycaps, Light Up Keyboard for PC Mac",N/A,975,11,4.3,N/A
"EPOMAKER Aula F99 MAX Wireless Mechanical Keyboard, Smart Screen & Knob, 8000mAh, 2.4Ghz/BT Creamy Keyboard, Pre-Lubed Switch, Hot-Swappable, RGB Backlit, Custom Software (Black)",N/A,2763,41,N/A,N/A
"AULA F99 Wireless Mechanical Keyboard,Tri-Mode BT5.0/2.4GHz/USB-C Hot Swappable Custom Keyboard,Pre-lubed Linear Switches,RGB Backlit Computer Gaming Keyboards for PC/Tablet/PS/Xbox",N/A,2243,18,4.5,N/A
"Black Diamond 75% v2 RGB Wireless Mechanical Gaming Keyboard, 2.4G 2ms Latency, Tri-Mode Connection, Leaf Spring Mount, Custom Internals, Hotswapable Switch",N/A,9819,05,4.4,N/A
"Redragon K668 RGB Gaming Keyboard, 108 Keys Wired Mechanical Keyboard w/Extra 4 Hotkeys, Sound Absorbing Foams, Upgraded Hot-swappable Socket, Mixed Color Keycaps x 2 Sets, Red Switch",N/A,1300,25,4.5,N/A
"MageGee Portable 60% Mechanical Gaming Keyboard, MK-Box LED Backlit Compact 68 Keys Mini Wired Office Keyboard with Red Switch for Windows Laptop PC Mac - Black/Grey",N/A,828,79,4.3,N/A
"AULA S99 Gaming Keyboard, Wireless Computer Keyboards, Tri-Mode Bluetooth/2.4GHz/USB-C Custom Creamy Keyboard with Number Pad, RGB Backlit Media Knob Cute Programmable Keyboard for PC Gamer - Green",N/A,910,08,4.3,N/A
